# M/msolar   r[kpc]   logP
1.55965 3.23694 3.85309e-50
1.56084 3.17297 4.15913e-50
1.55963 3.19898 2.74645e-50
1.55862 3.25077 6.58057e-50
1.56198 3.33619 3.595e-50
1.56192 3.43979 1.31674e-50
1.56203 3.4088 2.18806e-50
1.56363 3.37124 2.76484e-50
1.55977 3.26738 1.33155e-50
1.5612 3.28881 4.9554e-51
1.55902 3.48474 6.49367e-50
1.56329 3.44963 3.25047e-50
1.56481 3.44499 3.65304e-50
1.55634 3.41015 1.13391e-49
1.55552 3.36994 1.55221e-49
1.55251 3.30616 1.48892e-49
1.55198 3.27552 2.1444e-49
1.54977 3.25195 1.81619e-49
1.54692 3.22652 3.24318e-49
1.54738 3.21012 3.38233e-49
1.54529 3.33191 4.85492e-49
1.54664 3.4041 6.00998e-49
1.54258 3.3002 8.05986e-49
1.5409 3.2796 7.81479e-49
1.53401 3.35994 1.98874e-48
1.5354 3.33228 1.65251e-48
1.53606 3.2877 9.93079e-49
1.54239 3.26404 1.72973e-49
1.54245 3.1838 2.63617e-50
1.54082 3.17477 7.78323e-49
1.53785 3.20131 1.04856e-48
1.53994 3.20753 9.5063e-49
1.53735 3.24524 1.32549e-48
1.53636 3.23506 8.4919e-49
1.53244 3.36894 4.24031e-48
1.5274 3.36166 4.48639e-48
1.52273 3.35879 1.47588e-48
1.52696 3.41112 4.09686e-48
1.53198 3.39047 4.80191e-48
1.53323 3.34204 2.42384e-48
1.53425 3.33878 1.96429e-48
1.53977 3.2956 8.40072e-49
1.53519 3.29896 7.39116e-49
1.53629 3.22127 1.51145e-48
1.53678 3.20161 7.0727e-49
1.53714 3.22568 1.84272e-48
1.53455 3.32663 3.76314e-48
1.53454 3.35982 2.99611e-48
1.5374 3.39477 2.73687e-48
1.53787 3.33428 1.95229e-48
1.53637 3.29702 6.02916e-49
1.53617 3.3754 1.44594e-48
1.54021 3.36544 8.4025e-49
1.54733 3.37063 9.54197e-49
1.54858 3.39482 9.10405e-49
1.54528 3.40268 1.63839e-48
1.53976 3.40231 3.42203e-48
1.54017 3.46419 3.89016e-48
1.54095 3.49245 4.03608e-48
1.53968 3.57726 3.73197e-48
1.54308 3.66149 2.4281e-48
1.54437 3.6724 3.84919e-48
1.54595 3.80143 1.86256e-48
1.54809 3.84419 7.30726e-49
1.54865 3.87333 1.001e-49
1.5505 3.95975 2.39222e-50
1.54888 3.93667 1.82124e-48
1.54651 3.93068 3.45153e-48
1.54479 3.89997 5.05086e-48
1.5406 3.9442 8.73072e-48
1.53805 4.01722 8.99535e-48
1.53745 3.97537 1.2307e-48
1.5386 3.98339 7.19202e-48
1.53868 4.04679 2.30478e-47
1.53992 3.98481 1.27979e-47
1.54043 4.02736 1.04318e-47
1.5397 4.02497 1.53613e-47
1.54358 4.01614 3.06894e-48
1.54345 3.97876 1.1524e-47
1.54384 3.97286 2.38347e-48
1.54246 3.89396 5.09586e-48
1.54024 3.96642 9.14321e-48
1.54199 3.95602 8.12277e-48
1.54546 3.96736 5.64475e-48
1.54376 3.93081 4.74609e-48
1.54269 3.85552 4.64231e-48
1.54417 3.82499 5.06273e-48
1.54231 3.84287 5.25054e-48
1.5434 3.86758 4.75294e-48
1.54295 3.82638 1.49355e-48
1.54584 3.82364 4.07554e-48
1.54459 3.84084 1.4023e-48
1.54615 3.89941 3.24304e-48
1.5449 3.88443 3.62009e-48
1.5442 3.89336 2.34839e-48
1.54281 3.87816 5.0596e-48
1.54155 3.88058 2.83395e-48
1.54115 3.94084 2.7696e-48
1.54279 3.8994 1.62977e-48
1.54138 3.82953 3.36252e-48
1.54485 3.91171 1.35612e-48
1.54381 3.81766 1.98785e-48
1.54111 3.83747 1.03396e-48
1.53731 3.79538 1.95945e-48
1.53687 3.7346 5.46653e-48
1.53161 3.74944 1.07213e-47
1.53206 3.7982 1.42266e-47
1.53257 3.78597 1.46103e-47
1.52858 3.86714 1.19229e-48
1.53135 3.90343 1.1257e-47
1.5365 3.83535 7.03778e-48
1.53779 3.78599 3.25073e-48
1.53758 3.72072 4.25255e-48
1.53596 3.77709 2.49951e-48
1.53973 3.81354 6.42224e-48
1.53967 3.79919 7.98767e-48
1.53995 3.83492 7.48325e-48
1.53946 3.8814 9.65248e-48
1.5426 3.96944 8.04463e-48
1.54285 3.94908 7.85035e-48
1.54085 3.92408 9.25245e-48
1.53912 4.01889 1.52333e-47
1.54164 4.07651 1.1438e-47
1.54016 4.00511 1.11624e-47
1.53108 4.0174 3.83127e-47
1.53346 3.93849 3.76798e-47
1.53525 3.93149 3.01795e-47
1.53679 3.94109 3.55282e-47
1.53551 3.92597 4.6854e-47
1.53335 3.90528 7.31588e-47
1.53394 3.90783 4.43283e-47
1.53346 3.9337 4.53915e-47
1.53214 4.00504 2.83899e-47
1.53157 3.8987 1.94032e-46
1.53508 3.92423 6.83202e-47
1.53362 3.97837 1.47832e-46
1.53235 3.89448 7.90284e-47
1.53288 3.89608 1.40419e-46
1.533 3.87377 1.67468e-46
1.53331 3.88736 1.45804e-46
1.53756 3.86051 7.84679e-47
1.53769 3.88624 1.07716e-46
1.53643 3.90406 9.49153e-47
1.53386 3.96029 7.73949e-47
1.53437 4.02599 3.18299e-46
1.53221 4.00245 3.33901e-46
1.53007 4.07751 1.5363e-46
1.52803 4.11024 2.26672e-46
1.53176 4.07654 5.97063e-46
1.53215 4.0135 4.93698e-46
1.53277 3.93159 2.05491e-46
1.52948 3.99757 2.03813e-46
1.53041 4.00125 3.41768e-46
1.52767 3.98649 2.71397e-46
1.52563 4.10453 7.57017e-46
1.52629 4.1562 7.00486e-46
1.52603 4.19945 8.16178e-46
1.52638 4.2231 4.08546e-46
1.52352 4.28558 1.03487e-45
1.52411 4.17936 6.59241e-46
1.52179 4.17618 1.27704e-45
1.52165 4.16644 1.26192e-45
1.52317 4.13709 8.79926e-46
1.52539 4.10475 8.09427e-46
1.52316 4.06813 9.14365e-46
1.52053 3.9873 8.35221e-46
1.51668 4.11421 5.0542e-46
1.51634 4.09254 1.02255e-45
1.52004 4.08324 4.22344e-46
1.51607 4.04177 1.70083e-45
1.51893 4.09334 8.14123e-46
1.51918 4.06514 9.74361e-46
1.51629 4.01575 5.02413e-46
1.51836 4.01862 3.20154e-46
1.51594 4.11083 4.43287e-46
1.51881 4.05925 4.0626e-46
1.519 4.13651 6.55547e-46
1.51869 4.09726 2.23035e-46
1.52057 4.0602 1.04837e-45
1.51974 4.01627 1.82203e-45
1.52089 3.92533 8.71581e-46
1.52537 3.94924 1.92641e-46
1.52655 3.94754 4.47392e-46
1.52718 3.94351 1.84937e-47
1.52924 3.88748 1.00913e-47
1.5294 3.92838 1.12713e-47
1.52883 3.99338 1.10227e-46
1.53135 3.93457 1.87778e-46
1.53246 3.88926 7.3913e-47
1.53689 3.91395 9.481e-47
1.53379 3.91684 1.81748e-46
1.53426 3.94648 1.60323e-46
1.53482 3.91757 8.78617e-47
1.53462 3.95901 9.73577e-47
1.53328 3.97088 1.75768e-46
1.53379 3.99807 1.29745e-46
1.53388 3.97275 6.07294e-47
1.5286 3.95422 9.21074e-47
1.53113 3.98442 2.4962e-46
1.53414 4.02455 2.88734e-46
1.53341 4.07593 2.10054e-46
1.53 4.07116 4.36314e-46
1.53293 4.01898 5.3618e-47
1.52638 4.01781 7.19889e-46
1.51534 4.11478 2.25564e-46
1.51319 4.12529 5.65959e-46
1.51471 4.14594 1.22495e-45
1.51972 4.13546 2.25443e-45
1.52131 4.10425 1.70347e-45
1.52104 4.07248 2.47746e-45
1.52592 4.03224 1.151e-45
1.52843 4.03481 1.63253e-46
1.52555 4.03917 1.48735e-45
1.52438 4.04089 5.84645e-46
1.52568 4.02221 5.20267e-47
1.52738 4.11031 7.17121e-46
1.52886 4.14843 1.36425e-45
1.52791 4.12274 1.36985e-45
1.52858 4.10924 1.95126e-45
1.53067 4.09227 1.74053e-45
1.53391 4.17539 1.30568e-45
1.53549 4.12058 9.86528e-46
1.5358 4.1127 6.0469e-46
1.53044 4.17156 2.34236e-45
1.5251 4.22954 4.02375e-45
1.52393 4.29009 5.98518e-45
1.52464 4.2838 6.59169e-45
1.52354 4.25012 5.46099e-45
1.51968 4.25473 1.15928e-44
1.52341 4.20681 6.9197e-45
1.5232 4.26408 7.65223e-45
1.52556 4.2243 4.86716e-45
1.52663 4.27347 5.81483e-45
1.52741 4.18133 4.46573e-45
1.52495 4.17656 4.72879e-45
1.52321 4.13934 1.96118e-45
1.52206 4.15483 5.20882e-45
1.52263 4.23061 8.55118e-45
1.52676 4.258 5.83066e-45
1.52435 4.28064 5.81899e-45
1.52309 4.26173 9.9743e-45
1.52664 4.18299 3.3974e-45
1.52846 4.21626 4.13989e-45
1.52994 4.21003 3.74713e-45
1.52655 4.17732 2.73014e-45
1.52644 4.20831 6.01544e-45
1.52538 4.13359 5.10583e-45
1.52331 4.26455 9.04062e-45
1.51919 4.26103 1.71833e-44
1.51385 4.33607 2.85483e-45
1.51204 4.39915 6.20519e-44
1.51706 4.42085 4.1918e-44
1.51699 4.40002 1.4463e-44
1.5204 4.45403 1.31411e-44
1.51826 4.46915 2.96998e-44
1.51554 4.5123 1.13213e-44
1.50963 4.48995 2.85494e-44
1.50821 4.5248 5.9007e-44
1.50697 4.58257 7.02354e-45
1.50878 4.56974 6.12938e-44
1.51072 4.57273 1.07668e-43
1.51051 4.53552 8.39875e-44
1.50742 4.61696 1.03167e-43
1.50568 4.51488 9.76564e-44
1.50519 4.47907 9.05668e-44
1.50715 4.52549 8.23759e-44
1.51019 4.57756 1.86342e-43
1.50976 4.53597 1.83437e-43
1.5087 4.5326 2.0597e-43
1.50781 4.50767 2.91182e-43
1.50909 4.48971 2.43344e-43
1.50264 4.52621 1.5343e-43
1.50193 4.50553 1.05258e-44
1.50083 4.47327 2.65573e-43
1.50205 4.48704 4.54737e-43
1.4988 4.48476 4.89119e-43
1.50036 4.43864 4.0529e-43
1.4976 4.53524 7.02858e-43
1.49516 4.5495 9.00845e-43
1.49115 4.55784 9.92909e-43
1.48715 4.52474 1.41418e-42
1.48836 4.52756 1.21956e-42
1.49014 4.53247 1.79174e-42
1.48711 4.51977 2.24408e-42
1.48027 4.48476 2.52438e-42
1.48245 4.53992 1.07581e-42
1.48711 4.4999 2.12997e-42
1.48685 4.44806 1.86514e-42
1.48906 4.51434 2.13801e-42
1.48878 4.45778 2.30199e-42
1.49283 4.48965 3.01176e-43
1.49335 4.45978 4.72871e-43
1.49327 4.47976 2.67537e-43
1.49685 4.49549 3.23201e-43
1.4923 4.50999 4.74074e-43
1.49471 4.58133 3.20329e-43
1.49739 4.52907 4.72304e-43
1.49819 4.43815 4.35329e-43
1.49689 4.46181 4.54995e-43
1.50034 4.48479 3.22468e-43
1.50021 4.36635 2.32142e-43
1.49323 4.37758 4.39063e-43
1.49344 4.35581 1.83157e-43
1.49073 4.3645 4.77651e-43
1.4926 4.31547 3.97306e-43
1.4928 4.28774 2.25005e-43
1.49569 4.19784 7.88061e-44
1.49513 4.14796 1.51077e-43
1.49288 4.21924 2.01155e-43
1.4951 4.2487 1.7292e-43
1.49678 4.19117 4.35391e-44
1.49339 4.15436 1.70614e-43
1.48898 4.15442 2.54734e-43
1.48884 4.19672 3.79861e-43
1.48666 4.17315 1.84635e-43
1.48745 4.17605 1.09841e-43
1.48635 4.17914 3.64147e-43
1.47976 4.26455 4.25457e-43
1.48056 4.17579 5.16579e-43
1.48109 4.1833 4.34231e-43
1.48478 4.2355 1.92041e-43
1.48163 4.24659 3.71784e-43
1.47929 4.29216 6.07485e-43
1.48388 4.26093 1.39412e-43
1.482 4.24047 2.3876e-43
1.48116 4.24547 5.43535e-43
1.48403 4.24477 3.22655e-43
1.4836 4.22736 5.58143e-43
1.48567 4.23975 3.40488e-43
1.48669 4.3421 6.13827e-43
1.4938 4.32624 2.59059e-43
1.49577 4.27 1.58444e-43
1.49391 4.29872 1.88131e-43
1.50001 4.32074 1.1448e-43
1.50034 4.32926 9.64119e-44
1.49822 4.30845 5.70553e-44
1.49476 4.32729 2.0655e-43
1.49522 4.31546 7.75165e-44
1.49994 4.32111 3.85598e-44
1.50144 4.24455 2.78235e-44
1.5015 4.2654 4.52329e-44
1.50284 4.33035 8.11152e-45
1.50449 4.41033 1.05077e-43
1.50559 4.39308 7.11846e-44
1.50675 4.5129 5.45118e-44
1.50796 4.44465 6.77483e-44
1.51005 4.41091 1.96767e-44
1.50628 4.39001 3.77458e-44
1.50692 4.3825 2.94639e-44
1.50871 4.46117 3.01171e-44
1.50645 4.52935 3.36923e-44
1.50965 4.541 1.80952e-44
1.50911 4.54525 5.8483e-44
1.50979 4.63139 8.10129e-44
1.50394 4.69684 2.44607e-43
1.50756 4.56622 3.76839e-44
1.50896 4.50518 3.65261e-44
1.51113 4.45412 1.95479e-44
1.51191 4.47376 2.91304e-44
1.51226 4.49131 2.78932e-44
1.51213 4.48664 4.96782e-44
1.50836 4.42752 5.56583e-44
1.50709 4.44843 7.10896e-44
1.50349 4.49649 4.7584e-44
1.50254 4.46398 4.81147e-44
1.50236 4.50026 1.58484e-43
1.50456 4.5465 1.47989e-43
1.50387 4.53346 7.56111e-44
1.50563 4.46945 4.22795e-44
1.50664 4.47107 7.20527e-44
1.50639 4.47923 1.42395e-44
1.51155 4.49094 4.19783e-44
1.51197 4.47864 1.02141e-44
1.50689 4.45907 6.51449e-44
1.50567 4.5046 1.00206e-43
1.50683 4.46728 4.48446e-44
1.50751 4.48172 2.66641e-44
1.50775 4.49511 2.73576e-44
1.50541 4.49988 8.40714e-44
1.50879 4.5582 1.05651e-43
1.50627 4.58223 9.79996e-44
1.50081 4.69357 7.20159e-44
1.50112 4.71363 1.78949e-43
1.4989 4.77279 7.44658e-43
1.49825 4.70601 6.39641e-43
1.4944 4.72067 1.10582e-42
1.4962 4.71621 9.75472e-43
1.49488 4.70205 1.20638e-42
1.49354 4.77069 1.77651e-42
1.49125 4.74234 6.90664e-43
1.49076 4.84263 1.4743e-42
1.48713 4.87055 3.88967e-42
1.48873 4.79995 2.10495e-42
1.4884 4.75422 3.27113e-42
1.48578 4.78258 2.18174e-42
1.48095 4.79901 6.34786e-42
1.47998 4.82581 3.67557e-42
1.47976 4.80034 1.32494e-42
1.48044 4.80008 3.96104e-42
1.48151 4.79567 2.96901e-42
1.48492 4.82876 6.21928e-42
1.48279 4.81741 5.30902e-42
1.48762 4.8292 3.7943e-42
1.48855 4.80195 2.64721e-42
1.48871 4.76799 1.66685e-42
1.49132 4.6943 8.15633e-43
1.48884 4.66982 8.10067e-43
1.48357 4.65224 1.45205e-42
1.47979 4.7122 3.82812e-42
1.48104 4.72611 3.06449e-42
1.4816 4.68696 1.83463e-42
1.48335 4.72517 5.2473e-43
1.48323 4.81561 6.57127e-42
1.48305 4.84757 7.03261e-42
1.48656 4.82934 4.30083e-42
1.48267 4.85114 2.91998e-42
1.47885 4.81769 6.48997e-43
1.47882 4.81052 6.16873e-42
1.47736 4.83945 7.31758e-42
1.48111 4.79684 3.35235e-42
1.48418 4.71358 2.97638e-42
1.48204 4.68624 3.29166e-42
1.48127 4.73126 4.01658e-42
1.47491 4.73421 2.15426e-42
1.47734 4.7539 4.66443e-42
1.47349 4.83571 2.01299e-42
1.47546 4.85766 5.89149e-42
1.47454 4.86249 3.87521e-42
1.47399 4.85612 5.96945e-42
1.47341 4.87678 6.78633e-42
1.47473 4.90781 5.37959e-42
1.47357 4.89876 5.62955e-42
1.47537 4.87432 3.96674e-42
1.47437 4.86603 5.27004e-42
1.46848 4.80971 5.08078e-42
1.46389 4.9494 4.14875e-42
1.46552 4.85859 6.53252e-42
1.46653 4.8948 6.01343e-42
1.46724 4.86097 2.60046e-42
1.46566 4.85366 3.53654e-42
1.46506 4.81849 7.05147e-42
1.46733 4.85828 3.04639e-42
1.46711 4.82604 3.67683e-42
1.46616 4.81151 9.13331e-43
1.4667 4.79095 1.50047e-42
1.46129 4.87201 1.61325e-42
1.46482 4.88688 1.78671e-42
1.46804 4.91801 3.50587e-42
1.46822 4.83247 3.24377e-42
1.46747 4.8417 3.36662e-42
1.47618 4.8014 2.96955e-42
1.47873 4.78066 2.42554e-42
1.47744 4.78863 2.6394e-42
1.47614 4.82283 2.46375e-42
1.47474 4.83755 3.57362e-42
1.47335 4.87253 6.13095e-42
1.47177 4.92274 6.97076e-42
1.47123 4.91276 8.97554e-42
1.47077 4.94626 8.45504e-42
1.47203 5.02336 7.90521e-42
1.47235 4.99681 8.01788e-42
1.47381 4.90481 1.77507e-42
1.47207 4.89092 6.61401e-42
1.4755 4.85382 6.80819e-42
1.47481 4.87385 8.78431e-42
1.47668 4.96282 1.14772e-41
1.48042 5.01392 2.28617e-42
1.47728 5.12269 4.49646e-42
1.47441 5.13355 1.95563e-41
1.4739 5.18336 1.73087e-41
1.47056 5.17804 1.12119e-41
1.46763 5.10169 1.63196e-41
1.47508 5.09281 1.00823e-41
1.47293 5.04768 1.06239e-41
1.47065 4.96063 7.35361e-42
1.47135 4.93971 9.07767e-42
1.46992 4.96716 8.31071e-42
1.46921 4.8834 7.0471e-42
1.46789 4.89595 1.05313e-41
1.46978 4.9106 9.71097e-42
1.47041 4.98621 8.95113e-42
1.46884 4.94064 7.08917e-42
1.46897 5.00093 1.25769e-41
1.46537 4.99401 1.46618e-41
1.46589 5.01955 1.56288e-41
1.46737 4.93777 8.17638e-42
1.47193 5.05686 2.99915e-42
1.47237 5.05248 9.09058e-42
1.47662 4.98448 3.01022e-42
1.47355 4.89706 2.42175e-42
1.47268 4.95232 7.7384e-42
1.47103 4.99127 4.82875e-42
1.47167 4.93237 5.8259e-42
1.47031 5.02393 4.75259e-42
1.47127 4.92604 6.15076e-42
1.47322 4.83828 1.89403e-42
1.47378 4.85176 4.84516e-42
1.47213 4.77884 5.53725e-42
1.4727 4.79088 5.47696e-42
1.47019 4.79186 5.18747e-42
1.46968 4.80715 6.31565e-42
1.47162 4.74484 2.96132e-42
1.47227 4.72785 2.73499e-42
1.47697 4.72387 1.31209e-42
1.46914 4.78973 9.6025e-42
1.46819 4.89123 4.77999e-42
1.46734 4.94467 1.19425e-41
1.47116 4.94486 1.63686e-41
1.46976 4.8594 1.04553e-41
1.47405 4.85424 7.50558e-42
1.4665 4.86363 8.62791e-42
1.46496 4.91022 7.10696e-42
1.4642 4.91527 9.19303e-42
1.46717 4.86865 1.22887e-41
1.46666 4.8944 6.77308e-42
1.46424 4.91921 1.7993e-41
1.45958 4.99482 8.11074e-42
1.46144 4.9698 1.04953e-41
1.46239 4.92138 2.21094e-41
1.45862 4.9239 2.86185e-41
1.46178 4.79613 1.40496e-41
1.46283 4.72513 1.97229e-42
1.46687 4.77703 1.5028e-41
1.46962 4.72326 6.41391e-42
1.47104 4.75617 1.27533e-41
1.47238 4.76458 1.22536e-41
1.47515 4.75759 3.20149e-42
1.47967 4.74097 2.97873e-42
1.47965 4.79966 1.11718e-41
1.48112 4.78667 4.71088e-42
1.48078 4.81612 5.69752e-42
1.48125 4.89245 1.20401e-41
1.47919 4.84575 1.34152e-41
1.48103 4.8334 1.00112e-41
1.48247 4.85964 5.64023e-42
1.48529 4.96479 9.95039e-42
1.48802 4.87718 2.15279e-42
1.48247 4.90693 9.96544e-42
1.47831 4.94789 4.59792e-42
1.47916 4.93034 1.35359e-41
1.47583 4.83333 3.77518e-42
1.47435 4.89233 1.31866e-41
1.47033 4.90088 1.91123e-41
1.47388 4.92801 1.93443e-41
1.47559 4.98462 2.20344e-41
1.47454 5.00206 2.16211e-41
1.47841 4.98685 1.37943e-41
1.47646 5.03432 1.0636e-41
1.47694 5.00034 1.38305e-41
1.47902 5.00712 1.19227e-41
1.47554 5.10659 1.77994e-41
1.47663 5.12806 1.45491e-41
1.47114 5.18998 3.39761e-41
1.46938 5.19045 3.93029e-41
1.46634 5.25888 4.46584e-41
1.4638 5.31874 2.40395e-41
1.46445 5.34741 3.9986e-41
1.46834 5.34524 3.33802e-41
1.46962 5.35209 2.26709e-41
1.47155 5.37946 2.09299e-41
1.47252 5.43769 2.81406e-41
1.47003 5.38821 1.06236e-41
1.46995 5.36301 1.29405e-41
1.47107 5.34655 1.85655e-41
1.47118 5.32378 9.88288e-42
1.46732 5.40784 7.96631e-42
1.46557 5.44206 1.65766e-41
1.46621 5.53345 6.59635e-42
1.4647 5.49501 2.53718e-41
1.46395 5.44537 2.47546e-42
1.4623 5.42018 1.20484e-43
1.46398 5.3328 9.3174e-44
1.46488 5.37527 1.60114e-41
1.46949 5.36486 3.82882e-41
1.46898 5.39142 4.20569e-41
1.47207 5.38994 2.54507e-41
1.46981 5.48394 3.27315e-41
1.46807 5.5095 2.2974e-41
1.4688 5.54569 4.35493e-41
1.46942 5.51799 3.50963e-41
1.47174 5.45329 1.95682e-41
1.47373 5.35885 6.43097e-42
1.47665 5.28853 3.01159e-42
1.48085 5.22221 1.37371e-41
1.47842 5.22795 2.35986e-41
1.47812 5.20927 2.00695e-41
1.47812 5.22795 2.29346e-41
1.4742 5.28194 3.35506e-41
1.47368 5.22206 4.39042e-41
1.47396 5.31189 4.20418e-41
1.47543 5.36909 2.96428e-41
1.48013 5.39747 3.19519e-41
1.47792 5.31644 6.22149e-41
1.47557 5.23839 4.07635e-41
1.47275 5.23792 9.52453e-42
1.47159 5.17642 5.21053e-42
1.47566 5.29029 2.84878e-41
1.47604 5.27895 6.46079e-41
1.47522 5.34867 5.23887e-41
1.47075 5.45809 5.06895e-41
1.47044 5.42951 9.8844e-41
1.47216 5.40912 8.67361e-41
1.4707 5.33481 7.31377e-41
1.47404 5.28248 8.02582e-41
1.47189 5.26669 1.43481e-40
1.46998 5.23712 1.14457e-40
1.46908 5.2324 1.49788e-40
1.46633 5.29942 6.88144e-41
1.46024 5.32117 1.2764e-40
1.46377 5.34207 1.95565e-40
1.46237 5.39892 5.56641e-40
1.46202 5.34488 5.86201e-40
1.46047 5.34682 2.55515e-40
1.45855 5.38552 4.88456e-40
1.46239 5.43623 4.43466e-40
1.46257 5.40318 4.74862e-40
1.46203 5.42107 5.74486e-40
1.46256 5.39098 5.77809e-40
1.46622 5.38407 4.46343e-40
1.47022 5.3684 4.39903e-40
1.4685 5.38282 3.26458e-40
1.46867 5.43697 2.70485e-40
1.46274 5.42561 6.76117e-40
1.46101 5.37975 6.58715e-40
1.45637 5.36109 1.27707e-40
1.45967 5.21809 4.02091e-40
1.45755 5.19285 5.37813e-41
1.45155 5.20125 7.72713e-42
1.44675 5.13457 2.29858e-41
1.44719 5.07997 4.01918e-40
1.44851 5.08232 3.29921e-40
1.45314 5.02486 2.01117e-40
1.45553 4.97895 9.60524e-41
1.45429 5.01637 2.61831e-40
1.44856 5.0559 2.93034e-40
1.452 5.03212 1.82047e-40
1.45265 5.01902 1.22399e-40
1.45239 5.08713 2.22555e-40
1.45583 5.08826 2.74171e-40
1.45607 5.06284 2.5479e-40
1.45502 5.14683 3.80867e-40
1.45692 5.08124 2.55979e-40
1.45659 5.0943 2.68224e-40
1.4586 4.97399 1.42416e-40
1.4589 4.9601 8.95506e-41
1.45739 5.01773 1.06892e-40
1.45381 4.95643 5.7019e-41
1.45428 4.92657 9.70477e-41
1.45952 4.9551 1.44819e-40
1.45753 4.89588 1.77606e-41
1.4623 4.95296 1.10726e-40
1.46292 4.93176 5.48777e-41
1.45797 4.90004 7.12528e-41
1.45933 4.98464 1.3691e-40
1.46243 5.03504 1.38082e-40
1.45479 5.09952 1.64187e-40
1.45687 5.02887 2.59888e-40
1.45471 5.06869 2.64982e-40
1.45514 5.06897 4.92598e-41
1.45954 5.11428 4.71604e-40
1.45877 5.16069 6.83495e-40
1.46133 5.14632 2.60069e-40
1.46136 5.07666 4.55191e-40
1.46156 5.08128 5.22906e-40
1.46345 5.10421 5.26682e-40
1.4621 5.12388 6.21131e-40
1.45726 5.14655 3.35527e-40
1.45642 5.22265 2.21656e-40
1.45753 5.15225 2.85495e-40
1.45519 5.18759 4.33959e-40
1.45271 5.22248 1.59511e-39
1.45246 5.25313 9.53877e-40
1.45615 5.30152 5.05907e-40
1.45329 5.29894 8.21644e-40
1.45778 5.16423 6.81689e-40
1.45464 5.2364 1.17051e-39
1.45659 5.30972 1.14542e-39
1.45585 5.34674 1.42511e-39
1.45582 5.31745 8.93424e-40
1.45255 5.26073 4.44234e-41
1.45571 5.18523 8.58117e-41
1.45551 5.19151 5.53621e-40
1.45057 5.2116 2.48481e-40
1.45131 5.20793 5.61447e-40
1.45162 5.18974 5.3179e-40
1.45106 5.17772 4.17056e-40
1.4498 5.24173 7.19263e-40
1.45155 5.27403 6.45193e-40
1.45292 5.25806 6.31303e-40
1.45088 5.21443 2.42719e-40
1.45108 5.25595 5.77514e-40
1.45032 5.33076 4.26085e-40
1.44594 5.38793 8.61767e-40
1.44616 5.44399 7.7908e-40
1.44337 5.47743 1.01787e-39
1.44781 5.46945 5.7802e-41
1.44556 5.50434 5.95533e-40
1.44674 5.5304 1.82992e-40
1.45059 5.48918 8.12152e-40
1.45295 5.51778 1.07914e-39
1.45304 5.59859 1.01295e-39
1.45113 5.62203 2.20308e-40
1.45361 5.60397 9.42793e-40
1.45216 5.58844 9.41222e-40
1.45639 5.68135 5.80876e-40
1.45726 5.67412 1.23034e-39
1.45671 5.62639 1.2027e-39
1.45565 5.82308 1.1335e-39
1.45637 5.78719 9.62928e-40
1.4527 5.80213 6.98529e-41
1.45149 5.86295 1.80091e-40
1.4517 5.89623 3.24599e-40
1.45162 5.85426 3.31903e-40
1.45735 5.96266 9.03226e-40
1.46158 5.92082 7.19777e-40
1.46357 5.95234 3.98971e-40
1.46138 5.95799 1.19586e-39
1.4639 5.96526 2.71174e-40
1.46242 5.94538 1.10075e-39
1.46398 5.93626 1.78444e-39
1.46289 5.98019 2.06186e-39
1.46219 5.98081 2.09938e-39
1.46231 5.97428 8.29438e-40
1.46415 5.93799 1.55459e-39
1.46181 5.93195 8.7528e-40
1.46675 5.93573 4.7623e-40
1.46368 5.93665 1.18422e-39
1.46073 5.97117 1.34948e-39
1.46252 6.02151 1.34714e-39
1.4602 5.9854 8.77064e-40
1.46017 5.99768 9.81072e-40
1.46032 5.92603 2.61197e-39
1.4597 5.942 2.15947e-39
1.45715 5.99613 1.45822e-39
1.4561 5.95376 2.4121e-40
1.46074 5.9155 1.16375e-39
1.45625 5.96674 1.88596e-39
1.45825 5.867 7.63683e-40
1.45802 5.86527 2.22172e-39
1.45722 5.8565 2.56193e-39
1.45841 5.88756 2.78856e-39
1.45621 5.88745 3.68678e-39
1.45653 5.89852 2.84421e-39
1.45971 5.92564 4.02049e-39
1.4601 5.96272 2.85584e-39
1.4562 5.96338 3.66464e-39
1.45761 5.90184 3.99608e-39
1.46006 5.90249 5.05102e-40
1.45557 5.99506 4.61547e-39
1.4546 6.00379 3.66335e-39
1.45324 5.942 1.38458e-39
1.45502 5.92876 6.52565e-39
1.46019 5.84811 6.08281e-39
1.45839 5.87247 3.80908e-39
1.45368 5.93163 3.34455e-39
1.45526 5.99463 8.33998e-40
1.44933 5.97505 7.08936e-39
1.45076 5.9505 2.70113e-39
1.44783 5.94214 7.03218e-39
1.44977 5.91754 5.70135e-39
1.45145 5.91567 8.22925e-39
1.44898 5.94555 8.42568e-39
1.44927 5.97961 1.21091e-38
1.44991 6.03135 1.73191e-38
1.44807 6.01056 1.03279e-38
1.45014 6.02808 5.92543e-39
1.44534 6.11216 2.52066e-39
1.44719 6.01981 3.23469e-39
1.44351 6.08115 2.84075e-39
1.44431 6.09905 1.69632e-39
1.44699 6.08903 2.35115e-39
1.44713 6.09664 6.28627e-40
1.44297 6.05498 3.47678e-40
1.44621 6.15495 6.01235e-40
1.44972 6.08752 4.83569e-40
1.44765 6.09586 2.35164e-39
1.44488 6.05403 2.29701e-39
